target,nominal,good,total
1035744,1004976,100,100
1036992,1006224,98,100
1038240,1007472,81,100
1039488,1008720,75,100
1040736,1009968,76,100
1041984,1011216,80,100
1043232,1012464,82,100
1044480,1013712,90,100
1045728,1014960,83,100
1046976,1016208,77,100
1048224,1017456,83,100
1049472,1018704,83,100
1050720,1019952,94,100
1051968,1021200,93,100
1053216,1022448,99,100
1054464,1023696,100,100
1055712,1024944,100,100
1056960,1026192,100,100
1058208,1027440,100,100
1059456,1028688,100,100
1060704,1029936,99,100
1061952,1031184,96,100
1063200,1032432,100,100
1064448,1033680,100,100
1065696,1034928,100,100
1066944,1036176,100,100
1068192,1037424,100,100
1069440,1038672,99,100
1070688,1039920,88,100
1071936,1041168,78,100
1073184,1042416,77,100
1074432,1043664,81,100
1075680,1044912,88,100
1076928,1046160,88,100
1078176,1047408,97,100
1079424,1048656,91,100
1080672,1049904,84,100
1081920,1051152,86,100
1083168,1052400,84,100
1084416,1053648,94,100
1085664,1054896,98,100
1086912,1056144,100,100
1088160,1057392,100,100
1089408,1058640,100,100
1090656,1059888,100,100
